var,question,var_name,nice_label,codes
QCODE,CSR Identification number,id,ID,RANGE
Q1,What is your position in your district?,role,District role,"1 – Superintendent
2 – Assistant Superintendent
3 – Other"
Q1_3_Text,Other Text response,role_text,District role (Other),Text response (Separate file)
Q2,"To the best of your knowledge, how long has your current superintendent been in their position?",supt_tenure,Superintendent tenure,"1 – Less than 1 year
2 – 1–3 years
3 – 4–6 years
4 – 7–10 years
5 – More than 10 years
Missing System"
Q3_1,What are your district’s long-term goals? - Increase student engagement in school,goal_engagement,Increase student engagement,"0 – Not checked 
1 – Increase student engagement in school"
Q3_2,"What are your district’s long-term goals? - Create a safe, welcoming school community",goal_safe_community,"Create safe, welcoming school community","0 – Not checked
1 – Create a safe, welcoming school community"
Q3_3,What are your district’s long-term goals? - Improve academic achievement,goal_academics,Improve academic achievement,"0 – Not checked 
1 – Improve academic achievement"
Q3_4,What are your district’s long-term goals? - Eliminate disparities in outcomes between student groups,goal_eliminate_disparities,Eliminate disparities in outcomes,"0 – Not checked 
1 – Eliminate disparities in outcomes between student groups"
Q3_5,"What are your district’s long-term goals? - Develop students’ durable skills (e.g., collaboration, resilience, leadership, civic engagement)",goal_durable_skills,Develop students' durable skills,"0 – Not checked 
1 – Develop students’ durable skills"
Q3_6,What are your district’s long-term goals? - Expand access to postsecondary education,goal_postsecondary,Expand access to postsecondary education,"0 – Not checked 
1 – Expand access to postsecondary education"
Q3_7,What are your district’s long-term goals? - Strengthen career preparation,goal_career,Strengthen career preparation,"0 – Not checked 
1 – Strengthen career preparation"
Q3_8,What are your district’s long-term goals? - Improve instructional quality,goal_instruction,Improve instructional quality,"0 – Not checked 
1 – Improve instructional quality"
Q3_9,What are your district’s long-term goals? - Other,goal_other,Some other goal,"0 – Not checked 
1 – Other"
Q3_9_Text,Other Text,goal_other_text,Some other goal (text),Text response (Separate file)
Q4_1,"In order to achieve your district’s long-term goals, how much change is needed in the following areas related to teaching, learning, and student support? - What teachers teach",need_support_instructional_content,What teachers teach,"1 – No change required
2 – Small changes required
3 – Substantial changes required
-99 – NA
Missing System"
Q4_2,"In order to achieve your district’s long-term goals, how much change is needed in the following areas related to teaching, learning, and student support? - How teachers teach",need_support_instructional_quality,How teachers teach,"1 – No change required
2 – Small changes required
3 – Substantial changes required
-99 – NA
Missing System"
Q4_3,"In order to achieve your district’s long-term goals, how much change is needed in the following areas related to teaching, learning, and student support? - How your district assesses student learning",need_support_assessment,How your district assesses student learning,"1 – No change required
2 – Small changes required
3 – Substantial changes required
-99 – NA
Missing System"
Q4_4,"In order to achieve your district’s long-term goals, how much change is needed in the following areas related to teaching, learning, and student support? - How your district addresses students’ non-academic needs",need_support_non_academics,How your district addresses students' non-academic needs,"1 – No change required
2 – Small changes required
3 – Substantial changes required
-99 – NA
Missing System"
Q4_5,"In order to achieve your district’s long-term goals, how much change is needed in the following areas related to teaching, learning, and student support? - How the adults in your district treat students",need_support_adult_respect,How the adults in your district treat students,"1 – No change required
2 – Small changes required
3 – Substantial changes required
-99 – NA
Missing System"
Q4_6,"In order to achieve your district’s long-term goals, how much change is needed in the following areas related to teaching, learning, and student support? - What the adults in your district think students are capable of",need_support_high_expectations,What the adults in your district think students are capable of,"1 – No change required
2 – Small changes required
3 – Substantial changes required
-99 – NA"
Q4_7,"In order to achieve your district’s long-term goals, how much change is needed in the following areas related to teaching, learning, and student support? - What decisions students can make about their learning",need_support_student_autonomy,What decisions students can make about their learning,"1 – No change required
2 – Small changes required
3 – Substantial changes required
-99 – NA
Missing System"
Q4_8,"In order to achieve your district’s long-term goals, how much change is needed in the following areas related to teaching, learning, and student support? - How your district places students in courses",need_support_placement_structures,How your district places students in courses,"1 – No change required
2 – Small changes required
3 – Substantial changes required
-99 – NA
Missing System"
Q4_9,"In order to achieve your district’s long-term goals, how much change is needed in the following areas related to teaching, learning, and student support? - Other",need_support_other,"Some other change teaching, learning, or student support need required","1 – No change required
2 – Small changes required
3 – Substantial changes required
-99 – NA
Missing System"
Q4_9_Text,Other Text,need_support_other_text,"Some other change teaching, learning, or student support need required (text)",Text response (Separate file)
